C_NAMEVI,C_NAMEEN,D_NAME,P_NAME,C_CODE,D_CODE,P_CODE,CODE_OLD
Yªn §«ng,Duc La,§øc Thä,Ha Tinh,18250,440,42,4050713
Yªn Hå,Yen Ho,§øc Thä,Ha Tinh,18253,440,42,4050725
Th¸i Yªn,Thai Yen,§øc Thä,Ha Tinh,18274,440,42,4050733
§øc ThÞnh,Duc Thinh,§øc Thä,Ha Tinh,18265,440,42,4050731
S¬n T©n,Son Tan,H­¬ng S¬n,Ha Tinh,18166,439,42,4050955
S¬n Long,Son Long,H­¬ng S¬n,Ha Tinh,18205,439,42,4050957
§øc Hoµ,Duc Hoa,§øc Thä,Ha Tinh,18280,440,42,4050735
§øc Long,Duc Long,§øc Thä,Ha Tinh,18283,440,42,4050739
§øc L¹c,Duc Lac,§øc Thä,Ha Tinh,18301,440,42,4050737
§øc Thuû,Duc Thuy,§øc Thä,Ha Tinh,18271,440,42,4050729
§øc L©m,Duc Lam,§øc Thä,Ha Tinh,18286,440,42,4050741
§øc Trung,Duc Trung,§øc Thä,Ha Tinh,18277,440,42,4050727
§øc Thanh,Duc Thanh,§øc Thä,Ha Tinh,18289,440,42,4050743
§øc Dòng,Duc Dung,§øc Thä,Ha Tinh,18292,440,42,4050749
§øc An,Duc An,§øc Thä,Ha Tinh,18298,440,42,4050751
§øc LËp,Duc Lap,§øc Thä,Ha Tinh,18295,440,42,4050747
§øc §ång,Duc Dong,§øc Thä,Ha Tinh,18304,440,42,4050755
§øc L¹ng,Duc Lang,§øc Thä,Ha Tinh,18307,440,42,4050761
T©n h­ëng,Tan Huong,§øc Thä,Ha Tinh,18310,440,42,4050763
P. b¾c Hång,P. Bac Hong,Hång LÜnh,Ha Tinh,18115,437,42,4050301
P. Nam Hång,P. Nam Hong,Hång LÜnh,Ha Tinh,18118,437,42,4050303
ThuËn Léc,Thuan Loc,Hång LÜnh,Ha Tinh,18130,437,42,4050309
Xu©n LÜnh,Xuan Linh,Nghi Xu©n,Ha Tinh,18397,442,42,4050531
Xu©n Liªn,Xuan Lien,Nghi Xu©n,Ha Tinh,18394,442,42,4050533
C­¬ng Gi¸n,Cuong Gian,Nghi Xu©n,Ha Tinh,18403,442,42,4050537
Xu©n Thµnh,Xuan Thanh,Nghi Xu©n,Ha Tinh,18382,442,42,4050523
Xu©n Mü,Xuan My,Nghi Xu©n,Ha Tinh,18379,442,42,4050521
Xu©n Viªn,Xuan Vien,Nghi Xu©n,Ha Tinh,18385,442,42,4050527
TT Nghi Xu©n,TT Nghi Xuan,Nghi Xu©n,Ha Tinh,18349,442,42,4050503
Tiªn §iÒn,Tien Dien,Nghi Xu©n,Ha Tinh,18373,442,42,4050517
Xu©n Yªn,Xuan Yen,Nghi Xu©n,Ha Tinh,18376,442,42,4050515
Xu©n H¶i,Xuan Hai,Nghi Xu©n,Ha Tinh,18367,442,42,4050513
Xu©n §an,Xuan Dan,Nghi Xu©n,Ha Tinh,18361,442,42,4050509
Xu©n Phæ,Xuan Pho,Nghi Xu©n,Ha Tinh,18364,442,42,4050511
¢n Phó,An Phu,Vò Quang,Ha Tinh,18316,441,42,4051013
§øc Giang,Duc Giang,Vò Quang,Ha Tinh,18319,441,42,4051011
H­¬ng Quang,Huong Quang,Vò Quang,Ha Tinh,18346,441,42,4051003
Th¹ch Quý,Thach Qui,Hµ TÜnh,Ha Tinh,18091,436,42,4050115
§¹i Nµi,Dai Nai,Hµ TÜnh,Ha Tinh,18082,436,42,4050117
Th¹ch Linh,Thach Linh,Hµ TÜnh,Ha Tinh,18094,436,42,4050109
P. TrÇn Phó,P. Tran Phu,Hµ TÜnh,Ha Tinh,18070,436,42,4050105
P. T©n Giang,P. Tan Giang,Hµ TÜnh,Ha Tinh,18079,436,42,4050107
P. B¾c Hµ,P. Bac Ha,Hµ TÜnh,Ha Tinh,18076,436,42,4050101
Cæ §¹m,Co Dam,Nghi Xu©n,Ha Tinh,18391,442,42,4050535
B×nh Léc,Thinh Loc,Can Léc,Ha Tinh,18421,443,42,4051107
An Léc,An Loc,Can Léc,Ha Tinh,18430,443,42,4051111
T©n Léc,Tan Loc,Can Léc,Ha Tinh,18409,443,42,4051105
Hång Léc,Hong Loc,Can Léc,Ha Tinh,18412,443,42,4051103
ThuÇn ThiÖn,Thuan Thien,Can Léc,Ha Tinh,18418,443,42,4051137
ThiÖn Léc,Thien Loc,Can Léc,Ha Tinh,18415,443,42,4051109
V­¬ng Léc,Vuong Loc,Can Léc,Ha Tinh,18427,443,42,4051123
Thanh Léc,Thanh Loc,Can Léc,Ha Tinh,18433,443,42,4051115
Kim Léc,Kim Loc,Can Léc,Ha Tinh,18424,443,42,4051113
Th­êng Nga,Thuong Nga,Can Léc,Ha Tinh,18439,443,42,4051127
Song Léc,Song Loc,Can Léc,Ha Tinh,18436,443,42,4051117
Tr­êng Léc,Truong Loc,Can Léc,Ha Tinh,18442,443,42,4051121
Phó Léc,Phu Loc,Can Léc,Ha Tinh,18454,443,42,4051141
Yªn Léc,Yen Loc,Can Léc,Ha Tinh,18451,443,42,4051143
Kh¸nh Léc,Khanh Loc,Can Léc,Ha Tinh,18460,443,42,4051131
Trung Léc,Trung Loc,Can Léc,Ha Tinh,18472,443,42,4051145
§ång Léc,Dong Loc,Can Léc,Ha Tinh,18484,443,42,4051155
Mü Léc,My Loc,Can Léc,Ha Tinh,18487,443,42,4051159
S¬n Léc,Son Loc,Can Léc,Ha Tinh,18490,443,42,4051161
Xu©n Léc,Xuan Loc,Can Léc,Ha Tinh,18475,443,42,4051149
TiÕn Léc,Tien Loc,Can Léc,Ha Tinh,18469,443,42,4051151
Tïng Léc,Tung Loc,Can Léc,Ha Tinh,18445,443,42,4051135
B×nh Léc,Binh Loc,Can Léc,Ha Tinh,18448,443,42,4051125
Phï L­u,Phu Luu,Can Léc,Ha Tinh,18493,443,42,4051147
Ých HËu,Ich Hau,Can Léc,Ha Tinh,18457,443,42,4051139
Quang Léc,Quang Loc,Can Léc,Ha Tinh,18481,443,42,4051157
VÜnh léc,Vinh Loc,Can Léc,Ha Tinh,18466,443,42,4051129
Gia Hanh,Gia Hanh,Can Léc,Ha Tinh,18463,443,42,4051119
Th­îng Léc,Thuong Loc,Can Léc,Ha Tinh,18478,443,42,4051153
§øc Nh©n,Duc Nhan,§øc Thä,Ha Tinh,18256,440,42,4050721
Liªn Minh,Lien Minh,§øc Thä,Ha Tinh,18247,440,42,4050711
Bïi X¸,Bui Xa,§øc Thä,Ha Tinh,18262,440,42,4050723
§øc Yªn,Duc Yen,§øc Thä,Ha Tinh,18268,440,42,4050719
Ph­¬ng Mü,Phuong My,H­¬ng Khª,Ha Tinh,18499,444,42,4051717
Hµ Linh,Ha Linh,H­¬ng Khª,Ha Tinh,18502,444,42,4051719
Ph­¬ng §iÒn,Phuong Dien,H­¬ng Khª,Ha Tinh,18511,444,42,4051715
Hoµ H¶i,Hoa Hai,H­¬ng Khª,Ha Tinh,18508,444,42,4051723
Phóc §ång,Phuc Dong,H­¬ng Khª,Ha Tinh,18514,444,42,4051721
H­¬ng Thuû,Huong Thuy,H­¬ng Khª,Ha Tinh,18505,444,42,4051729
H­¬ng Giang,Huong Giang,H­¬ng Khª,Ha Tinh,18517,444,42,4051731
H­¬ng B×nh,Huong Binh,H­¬ng Khª,Ha Tinh,18523,444,42,4051725
H­¬ng Long,Huong Long,H­¬ng Khª,Ha Tinh,18526,444,42,4051727
Gia Phè,Gia Pho,H­¬ng Khª,Ha Tinh,18532,444,42,4051733
Phó Gia,Phu Gia,H­¬ng Khª,Ha Tinh,18529,444,42,4051735
Phó Phong,Phu Phong,H­¬ng Khª,Ha Tinh,18535,444,42,4051741
H­¬ng §«,Huong Do,H­¬ng Khª,Ha Tinh,18538,444,42,4051749
H­¬ng VÜnh,Huong Vinh,H­¬ng Khª,Ha Tinh,18541,444,42,4051737
TTNT 20-4,TTNT 20-4,H­¬ng Khª,Ha Tinh,18550,444,42,4051703
Phóc Tr¹ch,Phuc Trach,H­¬ng Khª,Ha Tinh,18547,444,42,4051751
H­¬ng Xu©n,Huong Xuan,H­¬ng Khª,Ha Tinh,18544,444,42,4051739
Th¹ch B»ng,Thach Bang,Th¹ch Hµ,Ha Tinh,18568,445,42,4051313
Th¹ch Kim,Thach Kim,Th¹ch Hµ,Ha Tinh,18580,445,42,4051319
Th¹ch Mü,Thach My,Th¹ch Hµ,Ha Tinh,18577,445,42,4051315
Th¹ch S¬n,Thach Son,Th¹ch Hµ,Ha Tinh,18589,445,42,4051311
Th¹ch Ch©u,Thach Chau,Th¹ch Hµ,Ha Tinh,18583,445,42,4051317
Th¹ch Bµn,Thach Ban,Th¹ch Hµ,Ha Tinh,18574,445,42,4051321
Mai Phô,Mai Phu,Th¹ch Hµ,Ha Tinh,18670,445,42,4051341
Hé §«,Ho Do,Th¹ch Hµ,Ha Tinh,18598,445,42,4051345
Th¹ch Long,Thach Long,Th¹ch Hµ,Ha Tinh,18607,445,42,4051325
Th¹ch Kªnh,Thach Kenh,Th¹ch Hµ,Ha Tinh,18586,445,42,4051307
Th¹ch Liªn,Thach Lien,Th¹ch Hµ,Ha Tinh,18592,445,42,4051305
ViÖt Xuyªn,Viet Xuyen,Th¹ch Hµ,Ha Tinh,18610,445,42,4051309
Phï ViÖt,Phu Viet,Th¹ch Hµ,Ha Tinh,18601,445,42,4051323
Th¹ch Ngäc,Thach Ngoc,Th¹ch Hµ,Ha Tinh,18625,445,42,4051357
TTNT Th¹ch Ngäc,TTNT Thach Ngoc,Th¹ch Hµ,Ha Tinh,18565,445,42,4051303
Th¹ch TiÕn,Thach Tien,Th¹ch Hµ,Ha Tinh,18613,445,42,4051331
Th¹ch Thµnh,Thach Thanh,Th¹ch Hµ,Ha Tinh,18616,445,42,4051333
Th¹ch VÞnh,Thach Vinh,Th¹ch Hµ,Ha Tinh,18634,445,42,4051359
B¾c S¬n,Bac Son,Th¹ch Hµ,Ha Tinh,18646,445,42,4051363
Th¹ch L­u,Thach Luu,Th¹ch Hµ,Ha Tinh,18640,445,42,4051361
Th¹ch §µi,Thach Dai,Th¹ch Hµ,Ha Tinh,18643,445,42,4051365
Th¹ch Xu©n,Thach Xuan,Th¹ch Hµ,Ha Tinh,18658,445,42,4051373
Nam H­¬ng,Nam Huong,Th¹ch Hµ,Ha Tinh,18664,445,42,4051383
Th¹ch §iÒn,Thach Dien,Th¹ch Hµ,Ha Tinh,18667,445,42,4051381
Th¹ch H­¬ng,Thach Huong,Th¹ch Hµ,Ha Tinh,18661,445,42,4051379
Th¹ch L©m,Thach Lam,Th¹ch Hµ,Ha Tinh,18655,445,42,4051385
Th¹ch T©m,Thach Tan,Th¹ch Hµ,Ha Tinh,18652,445,42,4051375
Th¹ch H¶i,Thach Hai,Th¹ch Hµ,Ha Tinh,18571,445,42,4051329
Th¹ch §Þnh,Thach Dinh,Th¹ch Hµ,Ha Tinh,18595,445,42,4051327
Th¹ch Khª,Thach Khe,Th¹ch Hµ,Ha Tinh,18604,445,42,4051347
Th¹ch §«ng,Thach Dong,Hµ TÜnh,Ha Tinh,18106,436,42,4051339
Th¹ch L¹c,Thach Lac,Th¹ch Hµ,Ha Tinh,18622,445,42,4051355
Th¹ch H­ng,Thach Hung,Hµ TÜnh,Ha Tinh,18109,436,42,4051351
T­îng S¬n,Tuong Son,Th¹ch Hµ,Ha Tinh,18628,445,42,4051353
Th¹ch B×nh,Thach Binh,Hµ TÜnh,Ha Tinh,18112,436,42,4051377
Th¹ch TrÞ,Thach Tri,Th¹ch Hµ,Ha Tinh,18619,445,42,4051349
CÈm Th¹ch,Cam Thach,CÈm Xuyªn,Ha Tinh,18706,446,42,4051527
CÈm VÜnh,Cam Vinh,CÈm Xuyªn,Ha Tinh,18691,446,42,4051503
CÈm Yªn,Cam Yen,CÈm Xuyªn,Ha Tinh,18688,446,42,4051507
CÈm Hoµ,Cam Hoa,CÈm Xuyªn,Ha Tinh,18679,446,42,4051509
Th¹ch V¨n,Thach Van,Th¹ch Hµ,Ha Tinh,18631,445,42,4051371
Th¹ch Th¾ng,Thach Thang,Th¹ch Hµ,Ha Tinh,18637,445,42,4051367
§øc ThuËn,Duc Thuan,Hång LÜnh,Ha Tinh,18124,437,42,4050307
§Ëu Liªn,Dau Lien,Hång LÜnh,Ha Tinh,18127,437,42,4050311
Kú §ång,Ky Dong,Kú Anh,Ha Tinh,18775,447,42,4051953
Kú Khang,Ky Khang,Kú Anh,Ha Tinh,18778,447,42,4051923
Kú Giang,Ky Giang,Kú Anh,Ha Tinh,18772,447,42,4051909
S¬n Hµm,Son Ham,H­¬ng S¬n,Ha Tinh,18214,439,42,4050933
S¬n Tr­êng,Son Truong,H­¬ng S¬n,Ha Tinh,18223,439,42,4050965
S¬n Thä,Son Tho,Vò Quang,Ha Tinh,18325,441,42,4051005
H­¬ng §iÒn,Huong Dien,Vò Quang,Ha Tinh,18337,441,42,4051007
§øc H­¬ng,Duc Huong,Vò Quang,Ha Tinh,18328,441,42,4051019
§øc Liªn,Duc Lien,Vò Quang,Ha Tinh,18334,441,42,4051023
H­¬ng L©m,Huong Lam,H­¬ng Khª,Ha Tinh,18556,444,42,4051745
Kú Nam,Ky Nam,Kú Anh,Ha Tinh,18847,447,42,4051963
Kú Long,Ky Long,Kú Anh,Ha Tinh,18835,447,42,4051955
H­¬ng Liªn,Huong Lien,H­¬ng Khª,Ha Tinh,18559,444,42,4051747
Kú S¬n,Ky Son,Kú Anh,Ha Tinh,18844,447,42,4051915
H­¬ng Thä,Huong Tho,Vò Quang,Ha Tinh,18343,441,42,4051021
TT. Vò Quang,TT. Vu Quang,Vò Quang,Ha Tinh,18313,441,42,4051003
§øc Bång,Duc Bong,Vò Quang,Ha Tinh,18331,441,42,4051017
H­¬ng Minh,Huong Minh,Vò Quang,Ha Tinh,18340,441,42,4051015
CÈm L¹c,Cam Lac,CÈm Xuyªn,Ha Tinh,18748,446,42,4051551
S¬n Mai,Son Mai,H­¬ng S¬n,Ha Tinh,18226,439,42,4050943
S¬n Phó,Son Phu,H­¬ng S¬n,Ha Tinh,18217,439,42,4050959
TT.Phè Ch©u,TT.Pho Chau,H­¬ng S¬n,Ha Tinh,18133,439,42,4050903
Ph­êng Nam Hµ,P.Nam Ha,Hµ TÜnh,Ha Tinh,18073,436,42,4050113
Ha Tinh,Ky Anh,Kú Anh,Ha Tinh,18832,447,42,4051945
TT Th¹ch Hµ,TT Thach Ha,Th¹ch Hµ,Ha Tinh,18562,445,42,4051301
Kú Lîi,Ky Loi,Kú Anh,Ha Tinh,18796,447,42,4051947
Kú Th­îng,Ky Thuong,Kú Anh,Ha Tinh,18799,447,42,4051961
CÈm S¬n,Cam Son,CÈm Xuyªn,Ha Tinh,18745,446,42,4051549
CÈm ThÞnh,Cam Thinh,CÈm Xuyªn,Ha Tinh,18736,446,42,4051547
Léc Yªn,Loc Yen,H­¬ng Khª,Ha Tinh,18520,444,42,4051743
H­¬ng Tr¹ch,Huong Trach,H­¬ng Khª,Ha Tinh,18553,444,42,4051753
CÈm Mü,Cam My,CÈm Xuyªn,Ha Tinh,18739,446,42,4051539
CÈm B×nh,Cam Binh,CÈm Xuyªn,Ha Tinh,18685,446,42,4051505
Th¹ch Héi,Thach Hoi,Th¹ch Hµ,Ha Tinh,18649,445,42,4051369
Kú Liªn,Ky Lien,Kú Anh,Ha Tinh,18841,447,42,4051949
Kú Trinh,Ky Trinh,Kú Anh,Ha Tinh,18820,447,42,4051957
Kú ThÞnh,Ky Thinh,Kú Anh,Ha Tinh,18823,447,42,4051959
Th¹ch M«n,Thach Mon,Hµ TÜnh,Ha Tinh,18103,436,42,4051343
Th¹ch H¹,Thach Ha,Hµ TÜnh,Ha Tinh,18100,436,42,4051337
§øc LÜnh,Duc Linh,Vò Quang,Ha Tinh,18322,441,42,4051009
Xu©n Giang,Xuan Giang,Nghi Xu©n,Ha Tinh,18370,442,42,4050519
Xu©n Hång,Xuan Hong,Nghi Xu©n,Ha Tinh,18388,442,42,4050525
Xu©n Lam,Xuan Lam,Nghi Xu©n,Ha Tinh,18400,442,42,4050529
Trung L­¬ng,Trung Luong,Hång LÜnh,Ha Tinh,18121,437,42,4050305
§øc VÞnh,Duc Vinh,§øc Thä,Ha Tinh,18235,440,42,4050715
§øc Quang,Duc Quang,§øc Thä,Ha Tinh,18232,440,42,4050705
§øc Ch©u,Duc Chau,§øc Thä,Ha Tinh,18238,440,42,4050707
T­êng S¬n,Truong Son,§øc Thä,Ha Tinh,18244,440,42,4050709
S¬n ThÞnh,Son Thinh,H­¬ng S¬n,Ha Tinh,18151,439,42,4050929
S¬n TiÕn,Son Tien,H­¬ng S¬n,Ha Tinh,18142,439,42,4050913
S¬n Lª,Son Le,H­¬ng S¬n,Ha Tinh,18148,439,42,4050911
S¬n L©m,Son Lam,H­¬ng S¬n,Ha Tinh,18145,439,42,4050909
S¬n Hång,Son Hong,H­¬ng S¬n,Ha Tinh,18139,439,42,4050905
Kú L¹c,Ky Lac,Kú Anh,Ha Tinh,18850,447,42,4051927
TT Xu©n An,TT Xuan An,Nghi Xu©n,Ha Tinh,18352,442,42,4050503
S¬n LÜnh,Son Linh,H­¬ng S¬n,Ha Tinh,18160,439,42,4050907
Xu©n Héi,Xuan Hoi,Nghi Xu©n,Ha Tinh,18355,442,42,4050505
Th¹ch Yªn,Thach Yen,Hµ TÜnh,Ha Tinh,18088,436,42,4050111
TT. H­¬ng Khª,TT Huong Khe,H­¬ng Khª,Ha Tinh,18496,444,42,4051701
ThÞ TrÊn NghÌn,TT.Nghen,Can Léc,Ha Tinh,18406,443,42,4051133
Th¹ch Trung,Thach Trung,Hµ TÜnh,Ha Tinh,18097,436,42,4050119
T©n D©n,Tan Dan,Kinh M«n,Hai Duong,10699,292,30,1070949
Ph¹m MÖnh,Pham Menh,Kinh M«n,Hai Duong,10711,292,30,1070937
ThÊt Hïng,That Hung,Kinh M«n,Hai Duong,10681,292,30,1070931
Phóc Thµnh B,Phuc Thanh B,Kinh M«n,Hai Duong,10690,292,30,1070925
Th¨ng Long,Thang Long,Kinh M«n,Hai Duong,10717,292,30,1070919
An Phô,An Phu,Kinh M«n,Hai Duong,10732,292,30,1070913
Kim Khª,Kim Khe,Kim Thµnh,Hai Duong,10789,293,30,1071121
ViÖt H­ng,Viet Hung,Kim Thµnh,Hai Duong,10765,293,30,1071111
Lai Vu,Lai Vu,Kim Thµnh,Hai Duong,10753,293,30,1071103
TT. Sao §á,Sao Do town,ChÝ Linh,Hai Duong,10549,290,30,1070301
Hoµng T©n,Hoang Tan,ChÝ Linh,Hai Duong,10573,290,30,1070319
An L¹c,An Lac,ChÝ Linh,Hai Duong,10594,290,30,1070335
TT. Ph¶ L¹i,Pha Lai town,ChÝ Linh,Hai Duong,10546,290,30,1070305
Phó §iÒn,Phu Dien,Nam S¸ch,Hai Duong,10648,291,30,1070541
Quèc TuÊn,Quoc Tuan,Nam S¸ch,Hai Duong,10624,291,30,1070509
Nam T©n,Nam Tan,Nam S¸ch,Hai Duong,10612,291,30,1070505
HiÖp C¸t,Hiep Cat,Nam S¸ch,Hai Duong,10618,291,30,1070513
Th­îng §¹t,Thuong Dat,Nam S¸ch,Hai Duong,10669,291,30,1070529
TT. Nam S¸ch,Nam Sach town,Nam S¸ch,Hai Duong,10606,291,30,1070501
Thanh Lang,Thanh Lang,Thanh Hµ,Hai Duong,10834,294,30,1070709
ViÖt Hång,Viet Hong,Thanh Hµ,Hai Duong,10819,294,30,1070705
Thanh S¬n,Thanh Son,Thanh Hµ,Hai Duong,10867,294,30,1070737
QuyÕt Th¾ng,Quyet Thang,Thanh Hµ,Hai Duong,10822,294,30,1070717
TT. Thanh Hµ,Thanh Ha town,Thanh Hµ,Hai Duong,10813,294,30,1070701
An Thanh,An Thanh,Tø Kú,Hai Duong,11125,298,30,1071531
T¸i S¬n,Tai Son,Tø Kú,Hai Duong,11098,298,30,1071511
§¹i §ång,Dai Dong,Tø Kú,Hai Duong,11083,298,30,1071507
T©n TiÕn,Tan Tien,Gia Léc,Hai Duong,11032,297,30,1071325
Hoµng DiÖu,Hoang Dieu,Gia Léc,Hai Duong,11047,297,30,1071323
§oµn Th­îng,Doan Thuong,Gia Léc,Hai Duong,11056,297,30,1071317
TT. Gia Léc,Gia Loc town,Gia Léc,Hai Duong,10999,297,30,1071301
P. Thanh B×nh,Thanh Binh,Thµnh phè H¶i D­¬ng,Hai Duong,10531,288,30,1070119
§øc ChÝnh,Duc Chinh,CÈm Giµng,Hai Duong,10912,295,30,1071721
Ngäc Liªn,Ngoc Lien,CÈm Giµng,Hai Duong,10903,295,30,1071705
CÈm Phóc,Cam Phuc,CÈm Giµng,Hai Duong,10933,295,30,1071733
TT. Lai C¸ch,Lai Cach town,CÈm Giµng,Hai Duong,10891,295,30,1071725
NghÜa An,Nghia An,Ninh Giang,Hai Duong,11164,299,30,1072315
VÜnh Hoµ,Vinh Hoa,Ninh Giang,Hai Duong,11185,299,30,1072309
T©n Phong,Tan Phong,Ninh Giang,Hai Duong,1197,299,30,1072337
Hång §øc,Hong Duc,Ninh Giang,Hai Duong,11167,299,30,1072325
V¨n Giang,Van Giang,Ninh Giang,Hai Duong,11236,299,30,1072355
HiÖp Lùc,Hiep Luc,Ninh Giang,Hai Duong,11227,299,30,1072303
Hoµng Hanh,Hoang Hanh,Ninh Giang,Hai Duong,11191,299,30,1072351
Chi L¨ng Nam,Chi Lang Nam,Thanh MiÖn,Hai Duong,11284,300,30,1072109
Cao Th¾ng,Cao Thang,Thanh MiÖn,Hai Duong,11278,300,30,1072117
Ph¹m Kha,Pham Kha,Thanh MiÖn,Hai Duong,11245,300,30,1072119
TT Thanh MiÖn,Thanh Mien town,Thanh MiÖn,Hai Duong,11239,300,30,1072101
T©n Trµo,Tan Trao,Thanh MiÖn,Hai Duong,11257,300,30,1072135
Long Xuyªn,Long Xuyen,B×nh Giang,Hai Duong,10963,296,30,1071913
B×nh Xuyªn,Binh Xuyen,B×nh Giang,Hai Duong,10996,296,30,1071923
Th¸i D­¬ng,Thai Duong,B×nh Giang,Hai Duong,10990,296,30,1071933
VÜnh Hång,Vinh Hong,B×nh Giang,Hai Duong,10960,296,30,1071909
H­ng ThÞnh,Hung Thinh,B×nh Giang,Hai Duong,10948,296,30,1071903
CÈm Vò,Cam Vu,CÈm Giµng,Hai Duong,10909,295,30,1071717
P. Ngäc Ch©u,Ngoc Chau,Thµnh phè H¶i D­¬ng,Hai Duong,10513,288,30,1070117
HiÖp S¬n,Hiep Son,Kinh M«n,Hai Duong,10726,292,30,1070939
Th¸i S¬n,Thai Son,Kinh M«n,Hai Duong,10693,292,30,1070933
LÔ Ninh,Le Ninh,Kinh M«n,Hai Duong,10684,292,30,1070927
Kim §Ønh,Kim Dinh,Kim Thµnh,Hai Duong,10792,293,30,1071127
Cæ Dòng,Co Dung,Kim Thµnh,Hai Duong,10762,293,30,1071109
Phóc Thµnh A,Phuc Thanh A,Kim Thµnh,Hai Duong,10774,293,30,1071117
Chi Minh,Chi Minh,ChÝ Linh,Hai Duong,10582,290,30,1070327
Hoµng TiÕn,Hoang Tien,ChÝ Linh,Hai Duong,10567,290,30,1070321
Céng Hoµ,Cong Hoa,Nam S¸ch,Hai Duong,10639,291,30,1070545
Thanh Quang,Thanh Quang,Nam S¸ch,Hai Duong,10621,291,30,1070507
Nam H­ng,Nam Hung,Nam S¸ch,Hai Duong,10609,291,30,1070503
§ång L¹c,Dong Lac,Nam S¸ch,Hai Duong,10657,291,30,1070537
An S¬n,An Son,Nam S¸ch,Hai Duong,10636,291,30,1070519
Liªn M¹c,Lien Mac,Thanh Hµ,Hai Duong,10843,294,30,1070711
T©n ViÖt,Tan Viet,Thanh Hµ,Hai Duong,10825,294,30,1070715
Thanh Thuû,Thanh Thuy,Thanh Hµ,Hai Duong,10861,294,30,1070735
Tø Xuyªn,Tu Xuyen,Tø Kú,Hai Duong,11095,298,30,1071523
Thanh H¶i,Thanh Hai,Thanh Hµ,Hai Duong,10846,294,30,1070723
Céng L¹c,Cong Lac,Tø Kú,Hai Duong,11140,298,30,1071529
Minh §øc,Minh Duc,Tø Kú,Hai Duong,11128,298,30,1071551
B×nh L¨ng,Binh Lang,Tø Kú,Hai Duong,11092,298,30,1071515
Ngäc S¬n,Ngoc Son,Tø Kú,Hai Duong,11077,298,30,1071503
D©n Chñ,Dan Chu,Tø Kú,Hai Duong,11110,298,30,1071549
Ph­¬ng Hung,Phuong Hung,Gia Léc,Hai Duong,11026,297,30,1071349
Gia L­¬ng,Gia Luong,Gia Léc,Hai Duong,11038,297,30,1071333
Th¹ch Kh«i,Thach Khoi,Gia Léc,Hai Duong,11002,297,30,1071303
Toµn Th¾ng,Toan Thang,Gia Léc,Hai Duong,11044,297,30,1071319
§ång Quang,Dong Quang,Gia Léc,Hai Duong,11065,297,30,1071339
YÕt Kiªu,Yet Kieu,Gia Léc,Hai Duong,11020,297,30,1071311
ViÖt Hoµ,Viet Hoa,Thµnh phè H¶i D­¬ng,Hai Duong,10543,288,30,1070123
P. Lª Thanh nghÞ,Le Thanh Nghi,Thµnh phè H¶i D­¬ng,Hai Duong,10534,288,30,1070105
CÈm V¨n,Cam Van,CÈm Giµng,Hai Duong,10900,295,30,1071719
CÈm §Þnh,Cam Dinh,CÈm Giµng,Hai Duong,10918,295,30,1071713
CÈm H­ng,cam Hung,CÈm Giµng,Hai Duong,10894,295,30,1071703
CÈm §oµi,Cam Doai,CÈm Giµng,Hai Duong,10942,295,30,1071727
QuyÕt Th¾ng,Quyet Thang,Ninh Giang,Hai Duong,11158,299,30,1072317
Hång Dô,Hong Du,Ninh Giang,Hai Duong,11215,299,30,1072305
§«ng Xuyªn,Dong Xuyen,Ninh Giang,Hai Duong,11188,299,30,1072329
H­ng Long,Hung Long,Ninh Giang,Hai Duong,11233,299,30,1072341
T©n Quang,Tan Quang,Ninh Giang,Hai Duong,11206,299,30,1072347
Hïng S¬n,Hung Son,Thanh MiÖn,Hai Duong,11272,300,30,1072121
Thanh Giang,Thanh Giang,Thanh MiÖn,Hai Duong,11287,300,30,1072103
Tø C­êng,Tu Cuong,Thanh MiÖn,Hai Duong,11269,300,30,1072115
Lam S¬n,Lam Son,Thanh MiÖn,Hai Duong,11260,300,30,1072125
Thanh Tïng,Thanh Tung,Thanh MiÖn,Hai Duong,11242,300,30,1072127
Ng« QuyÒn,Ngo Quyen,Thanh MiÖn,Hai Duong,11248,300,30,1072133
Hång Khª,Hong Khe,B×nh Giang,Hai Duong,10978,296,30,1071917
B×nh Minh,Binh Minh,B×nh Giang,Hai Duong,10975,296,30,1071927
VÜnh Tuy,Vinh Tuy,B×nh Giang,Hai Duong,10951,296,30,1071907
Ninh Hoµ,Ninh Hoa,Ninh Giang,Hai Duong,11170,299,30,1072321
KiÕn Quèc,Kien Quoc,Ninh Giang,Hai Duong,11209,299,30,1072335
L­¬ng §iÒn,Luong Dien,CÈm Giµng,Hai Duong,10924,295,30,1071737
Kim Giang,Kim Giang,CÈm Giµng,Hai Duong,10921,295,30,1071707
CÈm Hoµng,Cam Hoang,CÈm Giµng,Hai Duong,10897,295,30,1071715
Hoµnh S¬n,Hoanh Son,Kinh M«n,Hai Duong,10687,292,30,1070941
Quang Trung,Quang Trung,Kinh M«n,Hai Duong,10705,292,30,1070923
Th­îng QuËn,Thuong Quan,Kinh M«n,Hai Duong,10729,292,30,1070915
HiÖp An,Hiep An,Kinh M«n,Hai Duong,10735,292,30,1070911
B×nh D©n,Binh Dan,Kim Thµnh,Hai Duong,10798,293,30,1071131
Ngò Phóc,Ngu Phuc,Kim Thµnh,Hai Duong,10777,293,30,1071125
Th­îng Vò,Thuong Vu,Kim Thµnh,Hai Duong,10759,293,30,1071107
